Pond ID,Month,Treatment,Std Temp,GPP,CR,Pbio,Zbio,Prich
1,jul_11,H,1.101236278,1.403925065,1.010676043,1.175672488,0.565441228,0.077116714
1,may,H,0.351018737,0.615161936,-1.040426546,0.081870656,0.019202135,0.968089638
1,nov,H,-0.596988867,1.070094178,-0.383650721,-1.241734701,-0.619573236,-0.297576735
1,sept,H,0.012721451,0.687109989,-0.734025879,2.835942935,0.720118158,-0.297576735
10,jul_11,A,0.617542834,-1.1486551,1.057681706,-0.534072703,0.989222402,0.738515196
10,may,A,0.404613207,-0.52559413,-1.864867602,-2.309943939,-0.38446927,0.19489975
15,jul_11,H,0.696799275,-3.250426787,1.205229836,0.552402869,-1.312000137,0.19489975
15,may,H,0.828183279,0.019009614,0.740810642,2.502452461,0.280682266,0.738515196
15,nov,H,-0.498742676,0.685314046,-0.425469472,1.294557955,0.360174778,0.300260265
15,sept,H,-0.16549624,-0.055129715,0.737708352,1.135673459,0.082521612,0.636732502
16,jul_11,A,0.216392463,0.520838506,-0.891058093,2.011041016,-0.438880106,-0.210565358
16,may,A,-0.096762372,0.098236647,-1.141171654,0.268958899,0.195405651,-2.695472008
16,nov,A,-1.371296871,0.54346294,0.516180751,-2.365935931,0.991040748,0.395570445
16,sept,A,-0.248290118,-0.321210691,-1.250362599,-0.872826069,0.2614442,0.077116714
17,jul_11,H,1.114143402,0.792479065,1.026077938,1.797490663,-0.798550742,0.671823822
17,may,H,0.471401875,0.130552547,0.063029576,0.35463984,-0.841348019,0.600364858
17,nov,H,-1.109917286,0.241079723,0.543737163,-3.194322227,1.317833624,-0.297576735
18,may,A,-0.220654072,0.207652244,NA,1.441772176,-0.285316687,0.34905043
19,jul_11,H,1.023612319,1.146108267,0.912708573,2.967148938,-2.115723656,0.19489975
19,may,H,0.551249981,0.12408083,0.731637873,2.334719699,-0.864362582,0.88804693
19,nov,H,-1.182189262,0.666364578,0.869588123,1.227218029,-2.113669232,0.482581822
2,jul_11,A,0.41798908,0.988326982,0.68457788,-0.114510071,1.015398611,-0.616030466
2,may,A,0.012721451,-0.54219041,-1.723320387,0.290595803,0.899444196,0.077116714
2,nov,A,-1.138795469,0.248480351,-1.337015285,0.59925076,0.24965152,-1.086034096
2,sept,A,-0.639241163,-0.671981144,-1.468181714,2.19763801,1.022220687,-0.130522651
20,jul_11,A,0.324166785,0.013761333,1.343817074,2.039302617,-0.928699141,0.137741336
20,may,A,0.026364697,0.63180224,-0.396654272,2.629820875,1.012264457,0.738515196
20,nov,A,-1.680492453,-0.382064874,-0.976948736,2.317336737,-0.934530225,0.671823822
3,jul_11,A,0.775735757,-2.563010033,NA,-5.163873388,1.213288382,-0.903712539
3,nov,A,-1.473848664,-0.730268771,-0.224119819,-5.994159746,1.647965863,-0.297576735
3,sept,A,-0.456783289,-1.353312928,1.098813117,-3.631901874,0.779901295,0.012578193
4,nov,H,-0.526764224,1.737718515,NA,0.409675607,1.168455325,-0.056414678
4,sept,H,0.189356878,-2.145738037,-1.247905717,1.913925624,-1.202309637,-0.056414678
5,may,A,-0.400973161,0.610666689,NA,-0.282708283,0.001988549,0.19489975
5,nov,A,-1.182189262,-0.561818241,-0.083724556,-1.899580066,-0.669515316,-2.002324828
6,may,H,0.788860866,-0.108019151,-0.270634257,2.586313295,-0.491588641,0.56262453
6,nov,H,-0.31754749,1.669858719,NA,-0.56544568,0.122888525,0.395570445
7,jul_11,A,0.498053981,-1.002227945,1.057858667,-3.501999412,-0.567951168,-0.210565358
7,nov,A,-1.182189262,-2.516812045,-1.10344173,-1.71944507,0.930489696,-2.695472008
7,sept,A,-0.331427717,0.494619158,0.690339165,-3.314169422,0.872692763,-0.498247431
8,jul_11,H,1.049521547,-0.298406964,0.435080147,-0.179295173,-0.884679316,0.482581822
8,sept,H,0.484732444,1.012503358,0.739365521,2.53519392,0.854404093,0.482581822
9,jul_11,H,0.73630739,0.642383314,0.23950347,0.083686691,-0.989041152,0.34905043
9,may,H,1.44673283,1.175276132,0.858557424,-2.698378268,-1.131932501,0.738515196
